Category,食物名称,能量,热量,蛋白质,脂肪,碳水化合物,成本
,贝贝南瓜,,78 ,1.9,0.3,20.6,2.6
,白薯,,106 ,1.4,0.2,25.2,2.3
,红薯,,86 ,1.6,0.1,20.1,2.3
,桃子,,42 ,0.6,0.1,10.1,2.9
,无米寿司卷,377,90 ,6.5,4.2,3.8,10
,磨状元包浆豆腐,,122 ,11.7,7.9,1.2,6.4
,牛肉丸,594,142 ,20.2,5.8,2.1,7.3
,墨鱼丸,485,116 ,15.6,1.3,10.2,7.5
,虾丸,439,105 ,12.3,0.8,11.5,9.4
,杨梅,117,28 ,0.8,0.2,5.7,5.8
,杏,151,36 ,0.9,0.1,7.8,5.4
谷类及制品,籼米粥,251,60,1.3,0.2,13.4,0.5
谷类及制品,玉米(鲜),474,114,4,1.2,22.8,0.6
谷类及制品,玉米(白，干),1488,357,8.8,3.8,74.7,1.2
谷类及制品,玉米(黄，干),1472,353,8.7,3.8,73,1.1
谷类及制品,玉米面(白),1489,357,8,4.5,73.1,1.5
谷类及制品,玉米面(黄),1488,357,8.1,3.3,75.2,1.4
谷类及制品,玉米糁(黄),1498,359,7.9,3,75.6,1.3
谷类及制品,玉米笋(罐头),65,16,1.1,0.2,4.9,2.5
谷类及制品,大麦[元麦],1382,331,10.2,1.4,73.3,1.8
谷类及制品,青稞,1452,348,8.1,1.5,75,2
谷类及制品,小米,1530,367,9,3.1,75.1,2.5
谷类及制品,小米面,1515,363,7.2,2.1,77.7,2.8
谷类及制品,小米粥,193,46,1.4,0.7,8.4,0.6
谷类及制品,大黄米[黍子],1508,362,13.6,2.7,71.1,2.2
谷类及制品,黄米,1488,357,9.7,1.5,76.9,2.3
谷类及制品,高粱米,1523,365,10.4,3.1,74.7,1.6
谷类及制品,糜子(带皮),1422,341,10.6,0.6,75.1,1.5
谷类及制品,苦荞麦粉,1335,320,9.7,2.7,66,3
谷类及制品,荞麦,1426,342,9.3,2.3,73,2.8
